Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
48.02400, 0.62264, 23.99500, 1.21210, 29.89000, 29.08300, 0.97300
48.00800, 0.82050, 23.97800, 1.60810, 39.37400, 38.55900, 0.97930
47.99200, 1.01710, 23.96200, 2.00160, 48.79200, 47.96100, 0.98297
47.97500, 1.21290, 23.94500, 2.39370, 58.16400, 57.31700, 0.98544
47.96400, 1.34510, 23.93300, 2.65840, 64.49000, 63.62000, 0.98651
47.95100, 1.50480, 23.92000, 2.97840, 72.13000, 71.24000, 0.98766
47.93300, 1.71370, 23.90200, 3.39660, 82.11000, 81.18000, 0.98867
