Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
130.18000, 0.04536, 14.69600, 0.29869, 5.90230, 4.38950, 0.74369
130.18000, 0.04884, 14.68600, 0.33008, 6.35450, 4.84750, 0.76285
130.17000, 0.05359, 14.67300, 0.37306, 6.97330, 5.47410, 0.78501
130.17000, 0.05918, 14.65700, 0.42372, 7.70040, 6.21050, 0.80652
130.16000, 0.06690, 14.63400, 0.49382, 8.70500, 7.22660, 0.83017
130.16000, 0.07749, 14.60200, 0.59032, 10.08200, 8.61970, 0.85496
130.15000, 0.09291, 14.55000, 0.73190, 12.08900, 10.64900, 0.88088
130.13000, 0.11809, 14.45000, 0.96580, 15.36300, 13.95600, 0.90842
130.12000, 0.14211, 14.32800, 1.19350, 18.48700, 17.10100, 0.92503
130.11000, 0.16444, 14.16900, 1.41270, 21.38900, 20.01600, 0.93581
130.09000, 0.19143, 13.76400, 1.70960, 24.89700, 23.53000, 0.94509
130.09000, 0.19994, 13.17700, 1.86800, 26.00300, 24.61500, 0.94662
130.09000, 0.20177, 12.23400, 2.01820, 26.24100, 24.69100, 0.94093
130.07000, 0.22687, 11.81100, 2.32820, 29.50200, 27.49800, 0.93207
130.06000, 0.24774, 11.71200, 2.55670, 32.21300, 29.94500, 0.92959
130.18000, 0.27530, 11.65800, 2.85680, 35.82900, 33.30600, 0.92958
130.18000, 0.31013, 11.60400, 3.23790, 40.36000, 37.57100, 0.93090
130.17000, 0.35601, 11.56000, 3.74320, 46.32900, 43.27200, 0.93402
130.17000, 0.38488, 11.53500, 4.06190, 50.08500, 46.85300, 0.93547
130.17000, 0.41927, 11.50500, 4.44160, 54.55900, 51.09900, 0.93658
