Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
108.13000, 0.06489, 17.96800, 0.36748, 6.99210, 6.60230, 0.94425
108.13000, 0.07129, 17.96300, 0.40607, 7.68500, 7.29380, 0.94910
108.12000, 0.08007, 17.95600, 0.45892, 8.63400, 8.23970, 0.95433
108.11000, 0.09041, 17.94600, 0.52116, 9.75200, 9.35250, 0.95903
108.11000, 0.10475, 17.93300, 0.60749, 11.30100, 10.89400, 0.96399
108.10000, 0.12455, 17.91600, 0.72660, 13.43800, 13.01800, 0.96875
108.08000, 0.15370, 17.88900, 0.90200, 16.58400, 16.13600, 0.97299
108.05000, 0.20234, 17.84400, 1.19460, 21.82900, 21.31700, 0.97654
108.02000, 0.25049, 17.79800, 1.48420, 27.01800, 26.41600, 0.97772
108.15000, 0.29880, 17.77900, 1.77410, 32.26600, 31.54100, 0.97753
108.14000, 0.36983, 17.71700, 2.20190, 39.93500, 39.01000, 0.97684
108.13000, 0.42039, 17.67300, 2.50640, 45.39300, 44.29500, 0.97581
108.13000, 0.48690, 17.61400, 2.90690, 52.57200, 51.20200, 0.97394
108.12000, 0.57801, 17.53300, 3.45640, 62.40700, 60.60000, 0.97104
108.12000, 0.63744, 17.48100, 3.81490, 68.82100, 66.68700, 0.96899
108.11000, 0.71190, 17.41600, 4.26460, 76.86000, 74.27000, 0.96630
