Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
130.18000, 0.04781, 14.19500, 0.28840, 6.21650, 4.09360, 0.65851
130.18000, 0.05108, 14.19000, 0.31887, 6.64200, 4.52460, 0.68121
130.17000, 0.05557, 14.18400, 0.36066, 7.22630, 5.11530, 0.70787
130.17000, 0.06086, 14.17600, 0.40985, 7.91430, 5.80980, 0.73409
130.16000, 0.06818, 14.16500, 0.47800, 8.86600, 6.77080, 0.76368
130.16000, 0.07826, 14.14900, 0.57203, 10.17700, 8.09370, 0.79529
130.15000, 0.09306, 14.12500, 0.71040, 12.10200, 10.03500, 0.82920
130.14000, 0.11765, 14.08300, 0.94120, 15.29800, 13.25600, 0.86652
130.12000, 0.14182, 14.03800, 1.16940, 18.44000, 16.41500, 0.89018
130.11000, 0.16556, 13.98900, 1.39490, 21.52400, 19.51400, 0.90662
130.09000, 0.20020, 13.90600, 1.72760, 26.02400, 24.02400, 0.92315
130.07000, 0.22420, 13.83500, 1.96180, 29.14100, 27.14200, 0.93140
130.05000, 0.25435, 13.71500, 2.26370, 33.05500, 31.04500, 0.93919
130.18000, 0.29001, 13.44600, 2.65200, 37.72400, 35.65800, 0.94523
130.18000, 0.30230, 13.05600, 2.85130, 39.32200, 37.22800, 0.94675
130.18000, 0.29878, 12.23000, 2.99720, 38.86300, 36.65700, 0.94324
130.18000, 0.32070, 11.83900, 3.30350, 41.71400, 39.11000, 0.93757
130.18000, 0.36461, 11.70400, 3.78980, 47.42400, 44.35600, 0.93531
130.17000, 0.39346, 11.65800, 4.10570, 51.17600, 47.86600, 0.93532
130.17000, 0.42847, 11.62400, 4.48760, 55.72800, 52.16400, 0.93605
