Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
90.11000, 0.04578, 13.22900, 0.26779, 4.11400, 3.54200, 0.86096
90.11000, 0.04993, 13.22400, 0.29622, 4.48700, 3.91680, 0.87292
90.11000, 0.05560, 13.21700, 0.33508, 4.99700, 4.42820, 0.88617
90.10000, 0.06227, 13.20800, 0.38088, 5.59700, 5.03030, 0.89875
90.10000, 0.07151, 13.19700, 0.44437, 6.42900, 5.86370, 0.91207
90.09000, 0.08421, 13.17900, 0.53177, 7.57000, 7.00790, 0.92575
90.08000, 0.10287, 13.15200, 0.66040, 9.24600, 8.68500, 0.93933
90.06000, 0.13380, 13.10100, 0.87460, 12.02500, 11.45900, 0.95293
90.04000, 0.16406, 13.04400, 1.08560, 14.74100, 14.16000, 0.96059
90.03000, 0.19353, 12.97700, 1.29300, 17.38500, 16.77800, 0.96508
90.00000, 0.23509, 12.83200, 1.59320, 21.11200, 20.44400, 0.96836
90.12000, 0.26133, 12.67200, 1.79580, 23.49700, 22.75600, 0.96846
90.12000, 0.28869, 12.32900, 2.03390, 25.95700, 25.07500, 0.96602
90.11000, 0.33552, 12.13100, 2.39180, 30.16700, 29.01500, 0.96181
90.11000, 0.36870, 12.07200, 2.63570, 33.14800, 31.81900, 0.95991
90.10000, 0.41151, 12.03100, 2.94850, 36.99400, 35.47200, 0.95886
90.10000, 0.46595, 11.99100, 3.34640, 41.88600, 40.12800, 0.95803
90.10000, 0.53717, 11.94400, 3.86800, 48.28300, 46.19900, 0.95684
90.09000, 0.58204, 11.91500, 4.19650, 52.31100, 50.00100, 0.95584
90.09000, 0.63542, 11.88100, 4.58750, 57.10500, 54.50200, 0.95442
