Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
130.14000, 0.02967, 12.82400, inf, 3.61540, inf, 1.00000
130.14000, 0.03258, 12.77100, 0.28119, 3.96810, 3.59100, 0.90497
130.14000, 0.03611, 12.69600, 0.31682, 4.39510, 4.02230, 0.91518
130.14000, 0.04018, 12.60100, 0.35831, 4.88770, 4.51490, 0.92373
130.13000, 0.04576, 12.47700, 0.41486, 5.56370, 5.17610, 0.93033
130.13000, 0.05344, 12.32200, 0.49179, 6.49250, 6.05950, 0.93331
130.13000, 0.06461, 12.11300, 0.60269, 7.84370, 7.30060, 0.93076
130.11000, 0.08332, 11.88000, 0.78690, 10.10500, 9.34800, 0.92509
130.10000, 0.10227, 11.80800, 0.97590, 12.38800, 11.52300, 0.93017
130.09000, 0.12097, 11.76900, 1.16510, 14.63900, 13.71200, 0.93668
130.07000, 0.14858, 11.71800, 1.44620, 17.96800, 16.94700, 0.94318
130.06000, 0.16827, 11.68500, 1.64650, 20.33700, 19.23900, 0.94601
130.05000, 0.19417, 11.64400, 1.91020, 23.45200, 22.24300, 0.94845
