Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
90.09000, 0.03597, 12.12400, inf, 3.16270, inf, 1.00000
90.09000, 0.03996, 12.10100, 0.26570, 3.51110, 3.21530, 0.91575
90.09000, 0.04494, 12.07900, 0.30081, 3.94490, 3.63330, 0.92101
90.08000, 0.05077, 12.05600, 0.34219, 4.45330, 4.12540, 0.92637
90.08000, 0.05881, 12.03200, 0.39959, 5.15360, 4.80770, 0.93288
90.07000, 0.06982, 12.00500, 0.47879, 6.11300, 5.74810, 0.94031
90.06000, 0.08596, 11.97500, 0.59562, 7.51800, 7.13260, 0.94874
90.05000, 0.11275, 11.92500, 0.78990, 9.84800, 9.41900, 0.95644
90.03000, 0.13911, 11.87700, 0.98160, 12.14100, 11.65900, 0.96030
90.02000, 0.16525, 11.83600, 1.17180, 14.41300, 13.86900, 0.96226
89.99000, 0.20398, 11.78000, 1.45400, 17.77800, 17.12800, 0.96344
89.97000, 0.23153, 11.74400, 1.65490, 20.16900, 19.43500, 0.96361
90.08000, 0.26888, 11.71800, 1.92230, 23.38900, 22.52500, 0.96306
