Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
150.16000, 0.02493, 12.14100, inf, 3.64420, inf, 1.00000
150.16000, 0.02746, 12.12900, 0.26653, 3.99130, 3.23260, 0.80991
150.16000, 0.03048, 12.11200, 0.30194, 4.42710, 3.65700, 0.82605
150.16000, 0.03402, 12.09300, 0.34347, 4.93870, 4.15350, 0.84101
150.16000, 0.03892, 12.06500, 0.40094, 5.64560, 4.83750, 0.85686
150.15000, 0.04565, 12.02700, 0.47996, 6.61820, 5.77250, 0.87222
150.15000, 0.05549, 11.97300, 0.59569, 8.03860, 7.13210, 0.88723
150.14000, 0.07169, 11.89200, 0.78790, 10.37900, 9.37000, 0.90278
150.13000, 0.08755, 11.82900, 0.97770, 12.66900, 11.56500, 0.91286
150.12000, 0.10313, 11.78100, 1.16660, 14.91900, 13.74400, 0.92124
