Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
90.09000, 0.03619, 12.11000, inf, 3.22600, inf, 1.00000
90.09000, 0.04006, 12.09900, 0.26560, 3.56950, 3.21350, 0.90027
90.08000, 0.04488, 12.08600, 0.30096, 3.99740, 3.63730, 0.90992
90.08000, 0.05055, 12.07000, 0.34261, 4.50140, 4.13530, 0.91867
90.08000, 0.05839, 12.04900, 0.40018, 5.19730, 4.82160, 0.92771
90.07000, 0.06913, 12.02200, 0.47951, 6.15100, 5.76470, 0.93720
90.06000, 0.08488, 11.98400, 0.59603, 7.54800, 7.14250, 0.94628
90.04000, 0.11099, 11.92100, 0.78960, 9.86400, 9.41200, 0.95418
90.03000, 0.13670, 11.86800, 0.98080, 12.14500, 11.64000, 0.95842
90.01000, 0.16217, 11.82300, 1.17060, 14.40300, 13.84000, 0.96091
89.99000, 0.19994, 11.76800, 1.45230, 17.74900, 17.09000, 0.96287
89.97000, 0.22686, 11.73200, 1.65300, 20.13300, 19.39300, 0.96324
90.08000, 0.26295, 11.70600, 1.92010, 23.33700, 22.47700, 0.96315
90.08000, 0.31169, 11.65300, 2.28390, 27.65700, 26.61400, 0.96229
90.07000, 0.34348, 11.62000, 2.52120, 30.47500, 29.29600, 0.96131
90.07000, 0.38334, 11.57800, 2.81900, 34.00600, 32.63900, 0.95980
90.06000, 0.43359, 11.52900, 3.19490, 38.45800, 36.83300, 0.95775
90.05000, 0.49917, 11.46700, 3.68510, 44.26600, 42.25500, 0.95457
90.05000, 0.54026, 11.42800, 3.99280, 47.90400, 45.62900, 0.95251
90.04000, 0.58903, 11.38300, 4.35770, 52.22200, 49.60300, 0.94985
