Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
50.05700, 0.00811, 4.23800, 0.07334, 0.40339, 0.31080, 0.77047
50.05700, 0.00887, 4.23500, 0.08221, 0.44105, 0.34820, 0.78948
50.05600, 0.00992, 4.23200, 0.09443, 0.49311, 0.39960, 0.81037
50.05500, 0.01113, 4.22800, 0.10865, 0.55350, 0.45940, 0.82999
50.05400, 0.01282, 4.22300, 0.12832, 0.63730, 0.54190, 0.85031
50.05300, 0.01512, 4.21600, 0.15516, 0.75170, 0.65410, 0.87016
50.05100, 0.01849, 4.20500, 0.19442, 0.91860, 0.81760, 0.89005
50.04800, 0.02402, 4.18800, 0.25898, 1.19310, 1.08460, 0.90906
50.04000, 0.03623, 4.15100, 0.40152, 1.79750, 1.66660, 0.92718
50.03500, 0.04462, 4.12700, 0.50002, 2.21340, 2.06360, 0.93232
50.03100, 0.05058, 4.11200, 0.57020, 2.50880, 2.34480, 0.93463
50.02700, 0.05841, 4.09400, 0.66250, 2.89650, 2.71200, 0.93630
50.02000, 0.06911, 4.07200, 0.78910, 3.42680, 3.21300, 0.93761
