Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
90.09000, 0.03544, nan, nan, 3.14400, nan, nan
90.09000, 0.03934, 12.09400, 0.26499, 3.48770, 3.20460, 0.91883
90.08000, 0.04423, 12.08200, 0.30043, 3.91940, 3.62970, 0.92609
90.08000, 0.04997, 12.06700, 0.34212, 4.42670, 4.12830, 0.93259
90.08000, 0.05792, 12.04800, 0.39977, 5.12800, 4.81630, 0.93922
90.07000, 0.06884, 12.02300, 0.47913, 6.09200, 5.76050, 0.94558
90.06000, 0.08487, 11.98600, 0.59578, 7.50600, 7.14120, 0.95140
90.04000, 0.11147, 11.92800, 0.78970, 9.85200, 9.41900, 0.95605
90.01000, 0.16356, 11.83200, 1.17130, 14.44300, 13.85800, 0.95950
89.99000, 0.20186, 11.77500, 1.45330, 17.81700, 17.11300, 0.96049
89.98000, 0.22911, 11.73900, 1.65420, 20.21500, 19.41900, 0.96062
90.08000, 0.26580, 11.71300, 1.92160, 23.44600, 22.50800, 0.95999
