Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
90.10000, 0.01539, 7.61100, inf, 1.36000, inf, 1.00000
90.10000, 0.01678, 7.60700, 0.15950, 1.48230, 1.21330, 0.81853
90.10000, 0.01869, 7.60100, 0.18129, 1.65020, 1.37790, 0.83499
90.10000, 0.02092, 7.59300, 0.20683, 1.84630, 1.57030, 0.85051
90.10000, 0.02399, 7.58200, 0.24202, 2.11650, 1.83500, 0.86700
90.09000, 0.02878, 7.56600, 0.29637, 2.53190, 2.24230, 0.88562
90.09000, 0.03520, 7.54400, 0.36981, 3.09520, 2.78990, 0.90136
90.08000, 0.04587, 7.50600, 0.49182, 4.03110, 3.69140, 0.91573
90.07000, 0.06669, 7.43800, 0.73110, 5.85700, 5.43800, 0.92846
90.06000, 0.08199, 7.39900, 0.90800, 7.19900, 6.71800, 0.93319
90.05000, 0.09285, 7.37400, 1.03400, 8.15000, 7.62500, 0.93558
90.05000, 0.10708, 7.34500, 1.20000, 9.39800, 8.81400, 0.93786
90.04000, 0.12653, 7.31100, 1.42810, 11.10100, 10.44100, 0.94055
90.02000, 0.15518, 7.26900, 1.76520, 13.61200, 12.83200, 0.94270
