Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
50.06100, 0.02744, nan, nan, 1.37220, nan, nan
50.06000, 0.03022, 8.12600, 0.17107, 1.51130, 1.39010, 0.91980
50.05700, 0.03404, 8.12100, 0.19443, 1.70200, 1.57900, 0.92773
50.05500, 0.03850, 8.11600, 0.22178, 1.92510, 1.80000, 0.93502
50.05100, 0.04468, 8.10900, 0.25957, 2.23350, 2.10480, 0.94238
50.04600, 0.05418, 8.09900, 0.31787, 2.70810, 2.57430, 0.95059
50.03800, 0.06711, 8.08400, 0.39713, 3.35320, 3.21020, 0.95735
50.02600, 0.08865, 8.06100, 0.52942, 4.42820, 4.26780, 0.96378
50.01400, 0.10993, 8.03800, 0.66020, 5.48950, 5.30700, 0.96675
50.00200, 0.13095, 8.01000, 0.78940, 6.53700, 6.32300, 0.96726
49.98400, 0.16216, 7.97500, 0.98170, 8.09200, 7.82900, 0.96750
49.97100, 0.18438, 7.95300, 1.11860, 9.19900, 8.89600, 0.96706
49.95400, 0.21361, 7.92400, 1.29890, 10.65300, 10.29200, 0.96611
49.93100, 0.25373, 7.88700, 1.54660, 12.64800, 12.19800, 0.96442
50.05600, 0.28088, 7.88700, 1.71380, 14.03300, 13.51800, 0.96330
50.05400, 0.31402, 7.86500, 1.91920, 15.68800, 15.09400, 0.96214
