Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
74.08600, 0.04238, 12.11300, inf, 3.13470, inf, 1.00000
74.08400, 0.04704, 12.10800, 0.26552, 3.47970, 3.21490, 0.92390
74.08100, 0.05287, 12.10100, 0.30105, 3.91030, 3.64310, 0.93167
74.07600, 0.05976, 12.09400, 0.34303, 4.41930, 4.14860, 0.93875
74.07100, 0.06929, 12.08300, 0.40113, 5.12350, 4.84700, 0.94603
74.06400, 0.08243, 12.06800, 0.48126, 6.09390, 5.80760, 0.95302
74.05300, 0.10179, 12.04600, 0.59934, 7.52370, 7.21940, 0.95955
74.03400, 0.13405, 12.01500, 0.79650, 9.90400, 9.57000, 0.96628
74.01600, 0.16594, 11.98500, 0.99180, 12.25600, 11.88600, 0.96981
73.99700, 0.19738, 11.94500, 1.18460, 14.57400, 14.14900, 0.97084
73.97100, 0.24360, 11.87800, 1.46910, 17.98000, 17.45000, 0.97052
74.09100, 0.27698, 11.85400, 1.67460, 20.47100, 19.85000, 0.96966
74.08800, 0.31980, 11.79300, 1.94050, 23.63300, 22.88500, 0.96835
74.08400, 0.37792, 11.71100, 2.30380, 27.92400, 26.97900, 0.96616
74.08100, 0.41565, 11.66000, 2.54070, 30.71100, 29.62600, 0.96467
74.07800, 0.46307, 11.60500, 2.83880, 34.21200, 32.94400, 0.96294
