Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
90.09000, 0.04543, nan, nan, 3.97140, nan, nan
90.08000, 0.05002, 13.18700, 0.29109, 4.37670, 3.83820, 0.87696
90.08000, 0.05575, 13.17800, 0.32976, 4.88260, 4.34520, 0.88994
90.08000, 0.06251, 13.16700, 0.37523, 5.47690, 4.94020, 0.90201
90.07000, 0.07189, 13.15100, 0.43833, 6.30000, 5.76420, 0.91495
90.07000, 0.08481, 13.12900, 0.52520, 7.43100, 6.89510, 0.92788
90.05000, 0.10380, 13.09500, 0.65290, 9.08800, 8.54900, 0.94069
90.04000, 0.13517, 13.03200, 0.86480, 11.82300, 11.27000, 0.95323
90.02000, 0.16569, 12.96000, 1.07250, 14.47800, 13.90000, 0.96008
90.00000, 0.19507, 12.86900, 1.27550, 17.03300, 16.41500, 0.96372
89.98000, 0.23450, 12.64600, 1.56200, 20.46200, 19.75300, 0.96535
89.96000, 0.25629, 12.36000, 1.74260, 22.35400, 21.53700, 0.96345
90.08000, 0.28996, 12.15500, 1.99460, 25.26800, 24.24400, 0.95947
90.08000, 0.34106, 12.03200, 2.35940, 29.69900, 28.38700, 0.95582
90.07000, 0.37576, 11.99200, 2.60370, 32.70300, 31.22400, 0.95477
90.07000, 0.41949, 11.95300, 2.91180, 36.48500, 34.80400, 0.95393
90.06000, 0.47475, 11.90800, 3.30170, 41.26700, 39.31600, 0.95272
90.06000, 0.54689, 11.85300, 3.81100, 47.50800, 45.17200, 0.95083
90.05000, 0.59227, 11.82000, 4.13120, 51.43100, 48.82800, 0.94939
90.05000, 0.64618, 11.78000, 4.51120, 56.09000, 53.14100, 0.94742
