Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
90.09000, 0.03905, nan, nan, 3.51770, nan, nan
90.09000, 0.04305, 12.23400, 0.26922, 3.87810, 3.29360, 0.84928
90.08000, 0.04804, 12.20500, 0.30458, 4.32680, 3.71730, 0.85913
90.08000, 0.05388, 12.17400, 0.34620, 4.85270, 4.21450, 0.86849
90.08000, 0.06191, 12.13800, 0.40384, 5.57610, 4.90180, 0.87907
90.07000, 0.07290, 12.09300, 0.48307, 6.56500, 5.84180, 0.88984
90.06000, 0.08884, 12.03800, 0.59954, 8.00000, 7.21730, 0.90216
90.04000, 0.11510, 11.96300, 0.79320, 10.36200, 9.48800, 0.91565
90.03000, 0.14090, 11.89700, 0.98410, 12.68200, 11.70800, 0.92320
90.01000, 0.16636, 11.84100, 1.17330, 14.97100, 13.89300, 0.92799
89.99000, 0.20383, 11.77600, 1.45430, 18.33900, 17.12500, 0.93380
89.97000, 0.23033, 11.73700, 1.65480, 20.71900, 19.42200, 0.93740
90.08000, 0.26553, 11.70800, 1.92140, 23.91400, 22.49500, 0.94066
90.08000, 0.31326, 11.65200, 2.28440, 28.21100, 26.61700, 0.94350
90.08000, 0.34438, 11.61800, 2.52140, 31.01200, 29.29300, 0.94457
90.07000, 0.38332, 11.57600, 2.81880, 34.51700, 32.62900, 0.94530
90.07000, 0.43247, 11.52700, 3.19430, 38.94000, 36.82000, 0.94556
90.06000, 0.49669, 11.46900, 3.68550, 44.71800, 42.27000, 0.94526
