Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
130.13000, 0.05997, nan, nan, 7.03940, nan, nan
130.12000, 0.06350, 13.76700, 0.30467, 7.48340, 4.19020, 0.55993
130.12000, 0.06787, 13.76300, 0.34516, 8.03600, 4.74690, 0.59070
130.12000, 0.07309, 13.75800, 0.39279, 8.68700, 5.40080, 0.62171
130.12000, 0.08039, 13.75000, 0.45903, 9.59200, 6.30900, 0.65774
130.11000, 0.09052, 13.73900, 0.55036, 10.83800, 7.55930, 0.69748
130.10000, 0.10553, 13.72300, 0.68480, 12.66900, 9.39600, 0.74165
130.09000, 0.13066, 13.69500, 0.90950, 15.72000, 12.45500, 0.79230
130.07000, 0.15567, 13.66800, 1.13190, 18.73500, 15.46900, 0.82567
130.06000, 0.18051, 13.63900, 1.35250, 21.71900, 18.44600, 0.84930
130.04000, 0.21734, 13.59500, 1.68000, 26.13300, 22.83900, 0.87395
130.02000, 0.24353, 13.56100, 1.91300, 29.26700, 25.94300, 0.88642
130.13000, 0.28009, 13.53200, 2.22160, 33.44800, 30.06200, 0.89877
130.13000, 0.32726, 13.46600, 2.64100, 39.05000, 35.56400, 0.91073
130.12000, 0.35775, 13.42000, 2.91340, 42.66600, 39.09700, 0.91635
130.12000, 0.39542, 13.35500, 3.25290, 47.13200, 43.44200, 0.92171
130.11000, 0.44162, 13.25800, 3.67490, 52.60800, 48.72300, 0.92615
130.11000, 0.49635, 13.07200, 4.20120, 59.09200, 54.91900, 0.92938
