Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
50.06100, 0.00818, 4.35100, 0.07628, 0.40178, 0.33190, 0.82607
50.06000, 0.00898, 4.34400, 0.08533, 0.44085, 0.37060, 0.84065
50.06000, 0.01007, 4.33400, 0.09767, 0.49450, 0.42330, 0.85602
50.05900, 0.01134, 4.32200, 0.11198, 0.55663, 0.48400, 0.86952
50.05800, 0.01308, 4.30600, 0.13167, 0.64190, 0.56700, 0.88332
50.05600, 0.01547, 4.28500, 0.15856, 0.75860, 0.67950, 0.89573
50.05500, 0.01891, 4.25500, 0.19746, 0.92720, 0.84010, 0.90606
50.05100, 0.02528, 4.20300, 0.26936, 1.23880, 1.13200, 0.91379
50.04700, 0.03115, 4.16800, 0.33540, 1.52200, 1.39800, 0.91853
50.04400, 0.03688, 4.14200, 0.40111, 1.80100, 1.66150, 0.92254
