Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
48.02400, 0.62120, 23.98000, 1.21150, 29.82500, 29.05200, 0.97408
48.00700, 0.81760, 23.95700, 1.60680, 39.24200, 38.49400, 0.98094
47.99100, 1.01280, 23.93500, 1.99940, 48.59200, 47.85400, 0.98481
47.97500, 1.20710, 23.91200, 2.39040, 57.89700, 57.15900, 0.98725
47.96500, 1.33840, 23.89600, 2.65430, 64.18000, 63.43000, 0.98831
47.95100, 1.49690, 23.87800, 2.97320, 71.76000, 70.99000, 0.98927
47.93400, 1.70400, 23.85400, 3.38980, 81.66000, 80.86000, 0.99020
47.92300, 1.83030, 23.84000, 3.64380, 87.69000, 86.87000, 0.99065
47.91200, 1.97770, 23.82300, 3.94010, 94.73000, 93.86000, 0.99082
47.89700, 2.14870, 23.80300, 4.28420, 102.89000, 101.98000, 0.99116
47.88000, 2.35530, 23.78100, 4.69950, 112.74000, 111.76000, 0.99131
