Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
48.02400, 0.62131, 23.98000, 1.21160, 29.83000, 29.05500, 0.97402
48.00800, 0.81770, 23.95700, 1.60690, 39.24700, 38.49800, 0.98092
47.99200, 1.01290, 23.93500, 1.99950, 48.59800, 47.85800, 0.98477
47.97600, 1.20720, 23.91200, 2.39050, 57.90200, 57.16200, 0.98722
47.96500, 1.33840, 23.89700, 2.65450, 64.18000, 63.43000, 0.98831
47.95100, 1.49690, 23.87900, 2.97340, 71.76000, 71.00000, 0.98941
47.93400, 1.70410, 23.85400, 3.39000, 81.66000, 80.87000, 0.99033
47.92400, 1.83040, 23.84000, 3.64390, 87.69000, 86.87000, 0.99065
47.91200, 1.97780, 23.82300, 3.94020, 94.73000, 93.87000, 0.99092
