Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
48.02500, 0.62355, 23.99400, 1.21240, 29.94500, 29.09100, 0.97148
48.00800, 0.82090, 23.97600, 1.60810, 39.40900, 38.55600, 0.97836
47.99200, 1.01700, 23.95800, 2.00130, 48.80900, 47.94900, 0.98238
47.97600, 1.21240, 23.94100, 2.39320, 58.16400, 57.29500, 0.98506
47.96500, 1.34430, 23.92800, 2.65760, 64.48000, 63.59000, 0.98620
47.95100, 1.50360, 23.91400, 2.97740, 72.10000, 71.20000, 0.98752
47.93400, 1.71210, 23.89500, 3.39520, 82.07000, 81.13000, 0.98855
47.92400, 1.83900, 23.88300, 3.65000, 88.13000, 87.17000, 0.98911
47.91100, 1.98730, 23.87000, 3.94730, 95.21000, 94.22000, 0.98960
47.89700, 2.15930, 23.85400, 4.29260, 103.43000, 102.40000, 0.99004
47.88000, 2.36710, 23.83500, 4.70950, 113.34000, 112.25000, 0.99038
