Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
48.02400, 0.62134, 23.98000, 1.21170, 29.83100, 29.05600, 0.97402
48.00800, 0.81770, 23.95700, 1.60690, 39.24800, 38.49800, 0.98089
47.99200, 1.01290, 23.93500, 1.99950, 48.59900, 47.85800, 0.98475
47.97500, 1.20730, 23.91200, 2.39050, 57.90300, 57.16400, 0.98724
47.96500, 1.33850, 23.89700, 2.65440, 64.18000, 63.43000, 0.98831
47.95100, 1.49700, 23.87900, 2.97340, 71.76000, 71.00000, 0.98941
47.93400, 1.70420, 23.85400, 3.39010, 81.67000, 80.87000, 0.99020
47.92400, 1.83050, 23.84000, 3.64400, 87.70000, 86.87000, 0.99054
47.91100, 1.97790, 23.82400, 3.94030, 94.74000, 93.87000, 0.99082
47.89700, 2.14890, 23.80400, 4.28440, 102.90000, 101.99000, 0.99116
47.88000, 2.35560, 23.78100, 4.69970, 112.75000, 111.76000, 0.99122
