Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
48.02400, 0.62363, 23.99400, 1.21250, 29.94900, 29.09200, 0.97138
48.00800, 0.82100, 23.97600, 1.60820, 39.41400, 38.55800, 0.97828
47.99200, 1.01710, 23.95800, 2.00140, 48.81400, 47.95200, 0.98234
47.97600, 1.21250, 23.94100, 2.39330, 58.16900, 57.29800, 0.98503
47.96500, 1.34440, 23.92800, 2.65780, 64.48000, 63.60000, 0.98635
47.95200, 1.50380, 23.91400, 2.97770, 72.11000, 71.21000, 0.98752
47.93400, 1.71220, 23.89500, 3.39550, 82.07000, 81.14000, 0.98867
47.92400, 1.83920, 23.88400, 3.65030, 88.14000, 87.18000, 0.98911
47.91200, 1.98740, 23.87000, 3.94760, 95.22000, 94.23000, 0.98960
47.89800, 2.15950, 23.85400, 4.29300, 103.43000, 102.41000, 0.99014
47.88100, 2.36730, 23.83500, 4.70980, 113.35000, 112.26000, 0.99038
47.86000, 2.61670, 23.81200, 5.20990, 125.24000, 124.06000, 0.99058
47.83400, 2.93080, 23.78300, 5.83980, 140.19000, 138.89000, 0.99073
