Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
48.02400, 0.62125, 23.98000, 1.21160, 29.82700, 29.05400, 0.97408
48.00800, 0.81770, 23.95700, 1.60690, 39.24300, 38.49500, 0.98094
47.99200, 1.01280, 23.93400, 1.99950, 48.59400, 47.85600, 0.98481
47.97600, 1.20710, 23.91200, 2.39050, 57.89800, 57.16000, 0.98725
47.96500, 1.33830, 23.89600, 2.65430, 64.17000, 63.43000, 0.98847
47.95100, 1.49680, 23.87800, 2.97320, 71.75000, 70.99000, 0.98941
47.93400, 1.70390, 23.85400, 3.38990, 81.65000, 80.86000, 0.99032
47.92400, 1.83020, 23.83900, 3.64370, 87.69000, 86.86000, 0.99053
47.91200, 1.97760, 23.82200, 3.94000, 94.72000, 93.86000, 0.99092
