Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
90.09000, 0.03594, 12.10100, inf, 3.16890, inf, 1.00000
90.09000, 0.03987, 12.09200, 0.26542, 3.51260, 3.20940, 0.91368
90.09000, 0.04480, 12.08100, 0.30084, 3.94350, 3.63420, 0.92157
90.08000, 0.05058, 12.06700, 0.34246, 4.44890, 4.13220, 0.92881
90.08000, 0.05858, 12.04800, 0.40011, 5.14800, 4.82030, 0.93634
90.07000, 0.06956, 12.02400, 0.47959, 6.10800, 5.76660, 0.94411
90.06000, 0.08568, 11.99100, 0.59645, 7.51500, 7.15220, 0.95172
90.05000, 0.11243, 11.93800, 0.79070, 9.84900, 9.44000, 0.95847
90.03000, 0.13876, 11.88900, 0.98270, 12.14800, 11.68300, 0.96172
90.02000, 0.16488, 11.84800, 1.17310, 14.42400, 13.89900, 0.96360
89.99000, 0.20358, 11.79200, 1.45560, 17.79500, 17.16400, 0.96454
89.98000, 0.23111, 11.75600, 1.65670, 20.19300, 19.47600, 0.96449
90.08000, 0.26840, 11.73000, 1.92440, 23.42100, 22.57300, 0.96379
90.08000, 0.31836, 11.67500, 2.28870, 27.77100, 26.72100, 0.96219
90.07000, 0.39176, 11.59600, 2.82410, 34.15800, 32.75000, 0.95878
