Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
150.17000, 0.02631, 12.17500, inf, 3.62890, inf, 1.00000
150.16000, 0.02889, 12.16500, 0.26727, 3.97950, 3.25120, 0.81699
150.16000, 0.03211, 12.15200, 0.30282, 4.41730, 3.67960, 0.83300
150.16000, 0.03592, 12.13600, 0.34468, 4.93370, 4.18300, 0.84784
150.16000, 0.04118, 12.11500, 0.40260, 5.64800, 4.87740, 0.86356
150.15000, 0.04840, 12.08400, 0.48216, 6.62750, 5.82640, 0.87912
150.15000, 0.05900, 12.03900, 0.59899, 8.06550, 7.21140, 0.89410
150.14000, 0.07652, 11.97300, 0.79320, 10.44500, 9.49800, 0.90933
150.13000, 0.09374, 11.91600, 0.98490, 12.77900, 11.73600, 0.91838
150.12000, 0.11072, 11.87000, 1.17530, 15.07800, 13.95000, 0.92519
150.10000, 0.13569, 11.81900, 1.45880, 18.46600, 17.24200, 0.93372
150.09000, 0.15350, 11.78700, 1.66090, 20.87600, 19.57700, 0.93778
150.08000, 0.17691, 11.74600, 1.92690, 24.04200, 22.63300, 0.94139
150.06000, 0.20905, 11.69600, 2.29240, 28.38900, 26.81100, 0.94442
150.05000, 0.23003, 11.66500, 2.53110, 31.22500, 29.52500, 0.94556
150.04000, 0.25637, 11.62700, 2.83090, 34.78500, 32.91300, 0.94618
150.15000, 0.29241, 11.59200, 3.21270, 39.35800, 37.24300, 0.94626
150.15000, 0.33623, 11.53500, 3.70710, 45.23200, 42.76100, 0.94537
150.15000, 0.36378, 11.50000, 4.01790, 48.92400, 46.20500, 0.94442
150.14000, 0.39646, 11.45900, 4.38650, 53.30000, 50.26400, 0.94304
