Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
50.05900, 0.00840, 4.23400, 0.07382, 0.41243, 0.31260, 0.75795
50.05800, 0.00917, 4.23200, 0.08269, 0.45020, 0.34990, 0.77721
50.05800, 0.01023, 4.22900, 0.09490, 0.50221, 0.40130, 0.79907
50.05700, 0.01147, 4.22500, 0.10913, 0.56279, 0.46110, 0.81931
50.05700, 0.01318, 4.22000, 0.12879, 0.64650, 0.54350, 0.84068
50.05500, 0.01552, 4.21300, 0.15568, 0.76110, 0.65590, 0.86178
50.05300, 0.01894, 4.20300, 0.19494, 0.92820, 0.81920, 0.88257
50.05000, 0.02455, 4.18600, 0.25949, 1.20250, 1.08620, 0.90328
50.04500, 0.03119, 4.16700, 0.33547, 1.52360, 1.39800, 0.91756
50.04200, 0.03695, 4.15200, 0.40205, 1.80440, 1.66920, 0.92507
50.03700, 0.04543, 4.13100, 0.50099, 2.21780, 2.06970, 0.93322
50.03400, 0.05146, 4.11800, 0.57154, 2.51130, 2.35380, 0.93728
50.02900, 0.05937, 4.10400, 0.66440, 2.89690, 2.72700, 0.94135
50.02200, 0.07021, 4.08500, 0.79210, 3.42550, 3.23600, 0.94468
50.01200, 0.08619, 4.06200, 0.98060, 4.20350, 3.98300, 0.94754
50.00600, 0.09744, 4.04800, 1.11350, 4.75150, 4.50800, 0.94875
49.99700, 0.11212, 4.03000, 1.28710, 5.46580, 5.18700, 0.94899
