Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
130.14000, 0.02770, 12.07700, inf, 3.41730, inf, 1.00000
130.14000, 0.03053, 12.06700, 0.26484, 3.76150, 3.19560, 0.84955
130.14000, 0.03406, 12.05500, 0.30009, 4.19190, 3.61740, 0.86295
130.14000, 0.03823, 12.04000, 0.34164, 4.69900, 4.11330, 0.87536
130.13000, 0.04399, 12.01900, 0.39910, 5.40000, 4.79680, 0.88830
130.13000, 0.05192, 11.99100, 0.47817, 6.36430, 5.73350, 0.90088
130.12000, 0.06356, 11.94900, 0.59416, 7.77850, 7.09950, 0.91271
130.11000, 0.08280, 11.88600, 0.78720, 10.12000, 9.35600, 0.92451
130.10000, 0.10170, 11.83400, 0.97790, 12.41600, 11.57200, 0.93202
130.09000, 0.12035, 11.79500, 1.16770, 14.68000, 13.77300, 0.93822
130.08000, 0.14787, 11.74600, 1.44960, 18.02600, 17.02700, 0.94458
130.06000, 0.16750, 11.71400, 1.65050, 20.40800, 19.33400, 0.94737
130.05000, 0.19330, 11.67400, 1.91500, 23.53800, 22.35600, 0.94978
130.03000, 0.22874, 11.62500, 2.27840, 27.83500, 26.48700, 0.95157
130.02000, 0.25186, 11.59400, 2.51570, 30.63900, 29.16700, 0.95196
130.13000, 0.28267, 11.56900, 2.81690, 34.23400, 32.58800, 0.95192
130.13000, 0.31954, 11.52300, 3.19330, 38.68500, 36.79700, 0.95120
130.12000, 0.36771, 11.46600, 3.68480, 44.50000, 42.25000, 0.94944
