Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
50.05900, 0.03065, 8.32000, inf, 1.52830, inf, 1.00000
50.05800, 0.03359, 8.31700, 0.17557, 1.67450, 1.46030, 0.87208
50.05600, 0.03759, 8.31400, 0.19948, 1.87380, 1.65850, 0.88510
50.05300, 0.04229, 8.31100, 0.22758, 2.10760, 1.89140, 0.89742
50.04800, 0.04956, 8.30600, 0.27103, 2.46920, 2.25100, 0.91163
50.04300, 0.05881, 8.29900, 0.32626, 2.92950, 2.70750, 0.92422
50.03500, 0.07243, 8.28800, 0.40767, 3.60690, 3.37870, 0.93673
50.02200, 0.09518, 8.27100, 0.54357, 4.73770, 4.49560, 0.94890
50.00900, 0.11769, 8.25500, 0.67820, 5.85620, 5.59800, 0.95591
49.99600, 0.14005, 8.23900, 0.81220, 6.96600, 6.69100, 0.96052
49.97700, 0.17327, 8.21600, 1.01130, 8.61500, 8.30900, 0.96448
49.96300, 0.19697, 8.20000, 1.15330, 9.78900, 9.45700, 0.96608
49.94600, 0.22819, 8.17800, 1.34040, 11.33600, 10.96100, 0.96692
50.05700, 0.27195, 8.17000, 1.60200, 13.53700, 13.08900, 0.96691
50.05500, 0.30014, 8.15300, 1.77110, 14.93900, 14.44000, 0.96660
50.05300, 0.33552, 8.13200, 1.98340, 16.69800, 16.12900, 0.96592
