Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
50.06200, 0.02742, 8.12900, inf, 1.37150, inf, 1.00000
50.06000, 0.03021, 8.12600, 0.17107, 1.51080, 1.39020, 0.92017
50.05800, 0.03403, 8.12200, 0.19441, 1.70150, 1.57900, 0.92800
50.05500, 0.03849, 8.11700, 0.22175, 1.92460, 1.79990, 0.93521
50.05200, 0.04468, 8.10900, 0.25961, 2.23360, 2.10520, 0.94251
50.04600, 0.05418, 8.09800, 0.31800, 2.70780, 2.57530, 0.95107
50.03900, 0.06710, 8.08300, 0.39724, 3.35270, 3.21100, 0.95774
50.02600, 0.08864, 8.06200, 0.52952, 4.42750, 4.26880, 0.96416
50.01400, 0.10990, 8.03800, 0.66020, 5.48790, 5.30700, 0.96704
50.00200, 0.13093, 8.01000, 0.78940, 6.53600, 6.32400, 0.96756
49.98400, 0.16215, 7.97600, 0.98170, 8.09200, 7.83000, 0.96762
49.97100, 0.18437, 7.95300, 1.11870, 9.19800, 8.89700, 0.96728
49.95400, 0.21359, 7.92400, 1.29890, 10.65200, 10.29300, 0.96630
49.93100, 0.25372, 7.88700, 1.54670, 12.64700, 12.19800, 0.96450
50.05700, 0.28088, 7.88800, 1.71390, 14.03300, 13.52000, 0.96344
50.05400, 0.31402, 7.86600, 1.91920, 15.68800, 15.09600, 0.96226
