Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
74.08400, 0.04869, 12.27500, inf, 3.60450, inf, 1.00000
74.08100, 0.05346, 12.26800, 0.26927, 3.95760, 3.30350, 0.83472
74.07700, 0.05942, 12.26000, 0.30525, 4.39830, 3.74230, 0.85085
74.07300, 0.06642, 12.24900, 0.34764, 4.91670, 4.25830, 0.86609
74.06800, 0.07613, 12.23600, 0.40644, 5.63470, 4.97330, 0.88262
74.06000, 0.08949, 12.22100, 0.48764, 6.62300, 5.95940, 0.89980
74.04800, 0.10913, 12.19800, 0.60713, 8.07480, 7.40560, 0.91712
74.03000, 0.14186, 12.16100, 0.80640, 10.49400, 9.80600, 0.93444
74.01100, 0.17420, 12.12500, 1.00360, 12.88300, 12.17000, 0.94466
73.99300, 0.20627, 12.09200, 1.19950, 15.25100, 14.50400, 0.95102
73.96600, 0.25385, 12.04400, 1.49010, 18.76200, 17.94600, 0.95651
74.09100, 0.28845, 12.03500, 1.70050, 21.35200, 20.46600, 0.95851
74.08700, 0.33325, 12.00100, 1.97490, 24.66600, 23.70000, 0.96084
74.08200, 0.39491, 11.96100, 2.35330, 29.22800, 28.14600, 0.96298
74.08000, 0.43537, 11.93700, 2.60120, 32.22100, 31.05000, 0.96366
74.07600, 0.48624, 11.90800, 2.91330, 35.98500, 34.69200, 0.96407
