Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
74.08700, 0.04233, 12.11300, inf, 3.13140, inf, 1.00000
74.08400, 0.04701, 12.10900, 0.26541, 3.47730, 3.21370, 0.92419
74.08100, 0.05285, 12.10200, 0.30100, 3.90830, 3.64270, 0.93204
74.07700, 0.05974, 12.09500, 0.34298, 4.41740, 4.14830, 0.93908
74.07200, 0.06927, 12.08400, 0.40110, 5.12170, 4.84690, 0.94635
74.06400, 0.08242, 12.06800, 0.48127, 6.09280, 5.80810, 0.95327
74.05300, 0.10178, 12.04600, 0.59935, 7.52220, 7.21980, 0.95980
74.03400, 0.13404, 12.01500, 0.79650, 9.90300, 9.57000, 0.96637
74.01600, 0.16592, 11.98500, 0.99170, 12.25500, 11.88600, 0.96989
73.99800, 0.19735, 11.94500, 1.18450, 14.57200, 14.14900, 0.97097
73.97100, 0.24357, 11.87700, 1.46910, 17.97800, 17.44900, 0.97058
74.09200, 0.27696, 11.85400, 1.67450, 20.46900, 19.84900, 0.96971
74.08900, 0.31975, 11.79300, 1.94050, 23.62900, 22.88400, 0.96847
74.08500, 0.37786, 11.71000, 2.30380, 27.92100, 26.97800, 0.96623
74.08200, 0.41558, 11.66000, 2.54070, 30.70500, 29.62500, 0.96483
74.07800, 0.46302, 11.60500, 2.83880, 34.20900, 32.94300, 0.96299
