Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
74.08700, 0.04222, 12.09800, inf, 3.11570, inf, 1.00000
74.08400, 0.04686, 12.09300, 0.26519, 3.45960, 3.20690, 0.92696
74.08100, 0.05268, 12.08600, 0.30079, 3.89040, 3.63530, 0.93443
74.07700, 0.05952, 12.07700, 0.34264, 4.39680, 4.13800, 0.94114
74.07200, 0.06901, 12.06500, 0.40068, 5.09880, 4.83410, 0.94809
74.06400, 0.08209, 12.04900, 0.48065, 6.06590, 5.79140, 0.95475
74.05300, 0.10135, 12.02800, 0.59853, 7.48880, 7.19890, 0.96129
74.03400, 0.13341, 11.99500, 0.79530, 9.85700, 9.54000, 0.96784
74.01600, 0.16498, 11.95400, 0.98930, 12.18700, 11.82600, 0.97038
73.99800, 0.19611, 11.90900, 1.18110, 14.48300, 14.06600, 0.97121
73.97200, 0.24181, 11.83700, 1.46400, 17.85100, 17.32900, 0.97076
74.09200, 0.27474, 11.80800, 1.66810, 20.31000, 19.69700, 0.96982
74.08900, 0.31688, 11.74300, 1.93200, 23.42400, 22.68800, 0.96858
74.08400, 0.37422, 11.65800, 2.29340, 27.66100, 26.73600, 0.96656
74.08200, 0.41165, 11.61000, 2.52950, 30.42600, 29.36600, 0.96516
74.07800, 0.45880, 11.55500, 2.82670, 33.91000, 32.66400, 0.96326
