Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
50.05800, 0.00981, 4.28700, 0.07494, 0.49064, 0.32130, 0.65486
50.05700, 0.01059, 4.28500, 0.08386, 0.52950, 0.35930, 0.67856
50.05600, 0.01166, 4.28100, 0.09617, 0.58304, 0.41170, 0.70613
50.05600, 0.01292, 4.27800, 0.11059, 0.64588, 0.47310, 0.73249
50.05500, 0.01464, 4.27200, 0.13047, 0.73220, 0.55740, 0.76127
50.05400, 0.01700, 4.26500, 0.15769, 0.85040, 0.67260, 0.79092
50.05100, 0.02045, 4.25500, 0.19742, 1.02280, 0.84010, 0.82137
50.04700, 0.02688, 4.23700, 0.27170, 1.34360, 1.15130, 0.85688
50.04000, 0.03859, 4.20700, 0.40759, 1.92850, 1.71450, 0.88903
50.03700, 0.04249, 4.19700, 0.45304, 2.12340, 1.90140, 0.89545
50.03500, 0.04719, 4.18600, 0.50776, 2.35810, 2.12550, 0.90136
50.03100, 0.05329, 4.17200, 0.57896, 2.66300, 2.41530, 0.90698
50.02600, 0.06130, 4.15300, 0.67240, 3.06260, 2.79300, 0.91197
