Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
0.82300, 0.00033, 0.10100, 0.00007, 0.00017, 0.00000, 0.00000
0.94000, 0.00028, 0.11300, 0.00007, 0.00012, 0.00000, 0.00000
1.00400, 0.00026, 0.12100, 0.00007, 0.00009, 0.00000, 0.00000
1.05000, 0.00026, 0.12600, 0.00007, 0.00006, 0.00000, 0.00000
1.07600, 0.00025, 0.12900, 0.00007, 0.00005, 0.00000, 0.00000
1.09600, 0.00025, 0.13100, 0.00007, 0.00003, 0.00000, 0.00000
1.10800, 0.00025, 0.13300, 0.00007, 0.00003, 0.00000, 0.00000
1.11600, 0.00025, 0.13400, 0.00008, 0.00003, 0.00000, 0.00000
1.12200, 0.00025, 0.13400, 0.00007, 0.00002, 0.00000, 0.05556
1.12500, 0.00025, 0.13400, 0.00008, 0.00002, 0.00000, 0.00000
1.12700, 0.00025, 0.13500, 0.00007, 0.00002, 0.00000, 0.06250
1.12800, 0.00026, 0.13500, 0.00008, 0.00002, 0.00000, 0.06667
1.13000, 0.00025, 0.13500, 0.00007, 0.00001, 0.00000, 0.08333
