Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
90.09000, 0.04542, 13.19400, inf, 3.96980, inf, 1.00000
90.08000, 0.05001, 13.18800, 0.29105, 4.37560, 3.83790, 0.87711
90.08000, 0.05575, 13.17800, 0.32976, 4.88210, 4.34540, 0.89007
90.08000, 0.06253, 13.16800, 0.37533, 5.47840, 4.94190, 0.90207
90.07000, 0.07190, 13.15200, 0.43833, 6.30100, 5.76470, 0.91489
90.06000, 0.08484, 13.13000, 0.52520, 7.43200, 6.89550, 0.92781
90.05000, 0.10382, 13.09600, 0.65280, 9.08900, 8.54900, 0.94059
90.04000, 0.13521, 13.03300, 0.86480, 11.82500, 11.27100, 0.95315
90.02000, 0.16576, 12.96100, 1.07270, 14.48300, 13.90200, 0.95988
90.00000, 0.19516, 12.87100, 1.27570, 17.04000, 16.41900, 0.96356
89.98000, 0.23465, 12.64900, 1.56240, 20.47400, 19.76300, 0.96527
89.96000, 0.25649, 12.36300, 1.74310, 22.37000, 21.55000, 0.96334
90.08000, 0.29009, 12.15600, 1.99500, 25.27700, 24.25200, 0.95945
90.08000, 0.34119, 12.03300, 2.35980, 29.70800, 28.39400, 0.95577
90.07000, 0.37589, 11.99300, 2.60410, 32.71200, 31.23100, 0.95473
90.07000, 0.41959, 11.95400, 2.91210, 36.49200, 34.81200, 0.95396
90.06000, 0.47488, 11.90900, 3.30210, 41.27600, 39.32500, 0.95273
90.06000, 0.54707, 11.85400, 3.81140, 47.51900, 45.18000, 0.95078
90.05000, 0.59241, 11.82000, 4.13170, 51.43900, 48.83600, 0.94940
90.04000, 0.64631, 11.78000, 4.51160, 56.09600, 53.14800, 0.94745
