Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
90.09000, 0.03776, 12.68200, inf, 3.39710, inf, 1.00000
90.09000, 0.04156, 12.60400, 0.27746, 3.73940, 3.49690, 0.93515
90.09000, 0.04632, 12.52000, 0.31251, 4.16740, 3.91260, 0.93886
90.08000, 0.05196, 12.43900, 0.35368, 4.67510, 4.39960, 0.94107
90.08000, 0.05983, 12.34700, 0.41063, 5.38230, 5.07010, 0.94200
90.07000, 0.07067, 12.24500, 0.48897, 6.35700, 5.98730, 0.94184
90.06000, 0.08662, 12.13200, 0.60407, 7.79100, 7.32870, 0.94066
90.05000, 0.11319, 12.00900, 0.79630, 10.17900, 9.56400, 0.93958
90.03000, 0.13938, 11.93600, 0.98760, 12.53100, 11.78700, 0.94063
90.01000, 0.16516, 11.88800, 1.17810, 14.84700, 14.00500, 0.94329
89.99000, 0.20329, 11.83200, 1.46170, 18.26800, 17.29500, 0.94674
89.97000, 0.23036, 11.80200, 1.66440, 20.69700, 19.64400, 0.94912
90.08000, 0.26647, 11.78300, 1.93440, 23.96100, 22.79400, 0.95130
90.08000, 0.31535, 11.74000, 2.30240, 28.35400, 27.03000, 0.95330
90.08000, 0.34727, 11.71300, 2.54300, 31.22100, 29.78700, 0.95407
90.07000, 0.38735, 11.68100, 2.84560, 34.82300, 33.23900, 0.95451
90.07000, 0.43796, 11.64200, 3.22810, 39.36900, 37.58100, 0.95458
90.06000, 0.50413, 11.59500, 3.72800, 45.31200, 43.22500, 0.95394
90.06000, 0.50410, 11.59400, 3.72770, 45.30900, 43.22000, 0.95389
