Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
130.14000, 0.02792, 12.07200, inf, 3.41930, inf, 1.00000
130.14000, 0.03077, 12.06200, 0.26500, 3.76410, 3.19630, 0.84915
130.14000, 0.03433, 12.05000, 0.30027, 4.19340, 3.61810, 0.86281
130.14000, 0.03852, 12.03500, 0.34173, 4.69920, 4.11270, 0.87519
130.14000, 0.04433, 12.01400, 0.39915, 5.39970, 4.79540, 0.88809
130.13000, 0.05232, 11.98600, 0.47815, 6.36250, 5.73080, 0.90072
130.12000, 0.06405, 11.94400, 0.59415, 7.77640, 7.09630, 0.91254
130.11000, 0.08345, 11.88000, 0.78700, 10.11700, 9.35000, 0.92419
130.10000, 0.10249, 11.82800, 0.97770, 12.41000, 11.56400, 0.93183
130.09000, 0.12128, 11.78900, 1.16730, 14.67200, 13.76200, 0.93798
130.07000, 0.14901, 11.74000, 1.44920, 18.01400, 17.01300, 0.94443
130.06000, 0.16878, 11.70800, 1.65000, 20.39200, 19.31800, 0.94733
130.05000, 0.19479, 11.66800, 1.91420, 23.52000, 22.33600, 0.94966
