Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
90.09000, 0.03778, nan, nan, 3.39880, nan, nan
90.09000, 0.04158, 12.60000, 0.27738, 3.74080, 3.49490, 0.93427
90.08000, 0.04635, 12.51900, 0.31242, 4.16980, 3.91110, 0.93796
90.08000, 0.05201, 12.43900, 0.35369, 4.67900, 4.39960, 0.94029
90.08000, 0.05989, 12.34800, 0.41073, 5.38790, 5.07190, 0.94135
90.07000, 0.07076, 12.24800, 0.48921, 6.36500, 5.99200, 0.94140
90.06000, 0.08676, 12.13700, 0.60453, 7.80400, 7.33720, 0.94018
90.04000, 0.11340, 12.01700, 0.79720, 10.19800, 9.58000, 0.93940
90.03000, 0.13962, 11.94400, 0.98870, 12.55300, 11.80900, 0.94073
90.01000, 0.16541, 11.89500, 1.17940, 14.86900, 14.02900, 0.94351
89.99000, 0.20357, 11.83700, 1.46310, 18.29400, 17.31900, 0.94670
89.97000, 0.23068, 11.80600, 1.66590, 20.72600, 19.66800, 0.94895
90.08000, 0.26682, 11.78700, 1.93600, 23.99300, 22.82000, 0.95111
90.08000, 0.31575, 11.74300, 2.30420, 28.39000, 27.05800, 0.95308
90.08000, 0.34767, 11.71700, 2.54480, 31.25800, 29.81600, 0.95387
90.07000, 0.38777, 11.68400, 2.84740, 34.86000, 33.27000, 0.95439
